api_name,short_version,os,device,automation_backend,long_name,long_version,recommended_backend_version,deprecated_backend_versions,supported_backend_versions
"firefox","4","Mac 10.13","","webdriver","Firefox","4.0.1.","","",""
"firefox","5","Mac 10.13","","webdriver","Firefox","5.0.1.","","",""
"firefox","6","Mac 10.13","","webdriver","Firefox","6.0.2.","","",""
"firefox","7","Mac 10.13","","webdriver","Firefox","7.0.1.","","",""
"firefox","8","Mac 10.13","","webdriver","Firefox","8.0.1.","","",""
"firefox","9","Mac 10.13","","webdriver","Firefox","9.0.","","",""
"firefox","10","Mac 10.13","","webdriver","Firefox","10.0.1.","","",""
"firefox","11","Mac 10.13","","webdriver","Firefox","11.0.","","",""
"firefox","12","Mac 10.13","","webdriver","Firefox","12.0.","","",""
"firefox","13","Mac 10.13","","webdriver","Firefox","13.0.1.","","",""
"firefox","14","Mac 10.13","","webdriver","Firefox","14.0.1.","","",""
"firefox","15","Mac 10.13","","webdriver","Firefox","15.0.1.","","",""
"firefox","16","Mac 10.13","","webdriver","Firefox","16.0.2.","","",""
"firefox","17","Mac 10.13","","webdriver","Firefox","17.0.1.","","",""
"firefox","18","Mac 10.13","","webdriver","Firefox","18.0.2.","","",""
"firefox","19","Mac 10.13","","webdriver","Firefox","19.0.","","",""
"firefox","20","Mac 10.13","","webdriver","Firefox","20.0.1.","","",""
"firefox","21","Mac 10.13","","webdriver","Firefox","21.0.","","",""
"firefox","22","Mac 10.13","","webdriver","Firefox","22.0.","","",""
"firefox","23","Mac 10.13","","webdriver","Firefox","23.0.","","",""
"firefox","24","Mac 10.13","","webdriver","Firefox","24.0.","","",""
"firefox","25","Mac 10.13","","webdriver","Firefox","25.0.","","",""
"firefox","26","Mac 10.13","","webdriver","Firefox","26.0.","","",""
"firefox","27","Mac 10.13","","webdriver","Firefox","27.0.","","",""
"firefox","28","Mac 10.13","","webdriver","Firefox","28.0.","","",""
"firefox","29","Mac 10.13","","webdriver","Firefox","29.0.","","",""
"firefox","30","Mac 10.13","","webdriver","Firefox","30.0.","","",""
"firefox","31","Mac 10.13","","webdriver","Firefox","31.0.","","",""
"firefox","32","Mac 10.13","","webdriver","Firefox","32.0.","","",""
"firefox","33","Mac 10.13","","webdriver","Firefox","33.0.","","",""
"firefox","34","Mac 10.13","","webdriver","Firefox","34.0.","","",""
"firefox","35","Mac 10.13","","webdriver","Firefox","35.0.","","",""
"firefox","36","Mac 10.13","","webdriver","Firefox","36.0.","","",""
"firefox","37","Mac 10.13","","webdriver","Firefox","37.0.2.","","",""
"firefox","38","Mac 10.13","","webdriver","Firefox","38.0.1.","","",""
"firefox","39","Mac 10.13","","webdriver","Firefox","39.0.","","",""
"firefox","40","Mac 10.13","","webdriver","Firefox","40.0.","","",""
"firefox","41","Mac 10.13","","webdriver","Firefox","41.0.","","",""
"firefox","42","Mac 10.13","","webdriver","Firefox","42.0.","","",""
"firefox","43","Mac 10.13","","webdriver","Firefox","43.0.","","",""
"firefox","44","Mac 10.13","","webdriver","Firefox","44.0.","","",""
"firefox","45","Mac 10.13","","webdriver","Firefox","45.0.","","",""
"firefox","46","Mac 10.13","","webdriver","Firefox","46.0.","","",""
"firefox","47","Mac 10.13","","webdriver","Firefox","47.0.","","",""
"firefox","48","Mac 10.13","","webdriver","Firefox","48.0.","","",""
"firefox","49","Mac 10.13","","webdriver","Firefox","49.0.","","",""
"firefox","50","Mac 10.13","","webdriver","Firefox","50.0.","","",""
"firefox","51","Mac 10.13","","webdriver","Firefox","51.0.","","",""
"firefox","52","Mac 10.13","","webdriver","Firefox","52.0.","","",""
"firefox","53","Mac 10.13","","webdriver","Firefox","53.0.","","",""
"firefox","54","Mac 10.13","","webdriver","Firefox","54.0.","","",""
"firefox","55","Mac 10.13","","webdriver","Firefox","55.0.","","",""
"firefox","56","Mac 10.13","","webdriver","Firefox","56.0.","","",""
"firefox","57","Mac 10.13","","webdriver","Firefox","57.0.","","",""
"firefox","58","Mac 10.13","","webdriver","Firefox","58.0.","","",""
"firefox","59","Mac 10.13","","webdriver","Firefox","59.0.","","",""
"firefox","60","Mac 10.13","","webdriver","Firefox","60.0.","","",""
"firefox","beta","Mac 10.13","","webdriver","Firefox","beta.","","",""
"firefox","dev","Mac 10.13","","webdriver","Firefox","dev.","","",""
"safari","11","Mac 10.13","","webdriver","Safari","11.0.","","",""
"chrome","27","Mac 10.13","","webdriver","Google Chrome","27.0.1453.110.","","",""
"chrome","28","Mac 10.13","","webdriver","Google Chrome","28.0.1500.95.","","",""
"chrome","31","Mac 10.13","","webdriver","Google Chrome","31.0.1650.63.","","",""
"chrome","32","Mac 10.13","","webdriver","Google Chrome","32.0.1700.107.","","",""
"chrome","33","Mac 10.13","","webdriver","Google Chrome","33.0.1750.149.","","",""
"chrome","34","Mac 10.13","","webdriver","Google Chrome","34.0.1847.116.","","",""
"chrome","35","Mac 10.13","","webdriver","Google Chrome","35.0.1916.114.","","",""
"chrome","36","Mac 10.13","","webdriver","Google Chrome","36.0.1985.125.","","",""
"chrome","37","Mac 10.13","","webdriver","Google Chrome","37.0.2062.120.","","",""
"chrome","38","Mac 10.13","","webdriver","Google Chrome","38.0.2125.101.","","",""
"chrome","39","Mac 10.13","","webdriver","Google Chrome","39.0.2171.65.","","",""
"chrome","40","Mac 10.13","","webdriver","Google Chrome","40.0.2214.93.","","",""
"chrome","41","Mac 10.13","","webdriver","Google Chrome","41.0.2272.76.","","",""
"chrome","42","Mac 10.13","","webdriver","Google Chrome","42.0.2311.135.","","",""
"chrome","43","Mac 10.13","","webdriver","Google Chrome","43.0.2357.65.","","",""
"chrome","44","Mac 10.13","","webdriver","Google Chrome","44.0.2403.125.","","",""
"chrome","45","Mac 10.13","","webdriver","Google Chrome","45.0.2454.93.","","",""
"chrome","46","Mac 10.13","","webdriver","Google Chrome","46.0.2490.71","","",""
"chrome","47","Mac 10.13","","webdriver","Google Chrome","47.0.2526.73","","",""
"chrome","48","Mac 10.13","","webdriver","Google Chrome","48.0.2564.97","","",""
"chrome","49","Mac 10.13","","webdriver","Google Chrome","49.0.2623.112","","",""
"chrome","50","Mac 10.13","","webdriver","Google Chrome","50.0.2661.94","","",""
"chrome","51","Mac 10.13","","webdriver","Google Chrome","51.0.2704.63","","",""
"chrome","52","Mac 10.13","","webdriver","Google Chrome","52.0.2743.82","","",""
"chrome","53","Mac 10.13","","webdriver","Google Chrome","53.0.2785.89","","",""
"chrome","54","Mac 10.13","","webdriver","Google Chrome","54.0.2840.59","","",""
"chrome","55","Mac 10.13","","webdriver","Google Chrome","55.0.2883.75","","",""
"chrome","56","Mac 10.13","","webdriver","Google Chrome","56.0.2924.76","","",""
"chrome","57","Mac 10.13","","webdriver","Google Chrome","57.0.2987.98","","",""
"chrome","58","Mac 10.13","","webdriver","Google Chrome","58.0.3029.81","","",""
"chrome","59","Mac 10.13","","webdriver","Google Chrome","59.0.3071.86","","",""
"chrome","60","Mac 10.13","","webdriver","Google Chrome","60.0.3112.78","","",""
"chrome","61","Mac 10.13","","webdriver","Google Chrome","61.0.3163.79","","",""
"chrome","62","Mac 10.13","","webdriver","Google Chrome","62.0.3202.62","","",""
"chrome","63","Mac 10.13","","webdriver","Google Chrome","63.0.3239.84","","",""
"chrome","64","Mac 10.13","","webdriver","Google Chrome","64.0.3282.119","","",""
"chrome","65","Mac 10.13","","webdriver","Google Chrome","65.0.3325.146","","",""
"chrome","66","Mac 10.13","","webdriver","Google Chrome","66.0.3359.117","","",""
"chrome","beta","Mac 10.13","","webdriver","Google Chrome","beta.","","",""
"chrome","dev","Mac 10.13","","webdriver","Google Chrome","dev.","","",""
"MicrosoftEdge","15","Windows 10","","webdriver","Microsoft Edge","15.15063.","","",""
"firefox","4","Mac 10.9","","webdriver","Firefox","4.0.1.","","",""
"firefox","5","Mac 10.9","","webdriver","Firefox","5.0.1.","","",""
"firefox","6","Mac 10.9","","webdriver","Firefox","6.0.2.","","",""
"firefox","7","Mac 10.9","","webdriver","Firefox","7.0.1.","","",""
"firefox","8","Mac 10.9","","webdriver","Firefox","8.0.1.","","",""
"firefox","9","Mac 10.9","","webdriver","Firefox","9.0.","","",""
"firefox","10","Mac 10.9","","webdriver","Firefox","10.0.1.","","",""
"firefox","11","Mac 10.9","","webdriver","Firefox","11.0.","","",""
"firefox","12","Mac 10.9","","webdriver","Firefox","12.0.","","",""
"firefox","13","Mac 10.9","","webdriver","Firefox","13.0.1.","","",""
"firefox","14","Mac 10.9","","webdriver","Firefox","14.0.1.","","",""
"firefox","15","Mac 10.9","","webdriver","Firefox","15.0.1.","","",""
"firefox","16","Mac 10.9","","webdriver","Firefox","16.0.2.","","",""
"firefox","17","Mac 10.9","","webdriver","Firefox","17.0.1.","","",""
"firefox","18","Mac 10.9","","webdriver","Firefox","18.0.2.","","",""
"firefox","19","Mac 10.9","","webdriver","Firefox","19.0.","","",""
"firefox","20","Mac 10.9","","webdriver","Firefox","20.0.1.","","",""
"firefox","21","Mac 10.9","","webdriver","Firefox","21.0.","","",""
"firefox","22","Mac 10.9","","webdriver","Firefox","22.0.","","",""
"firefox","23","Mac 10.9","","webdriver","Firefox","23.0.","","",""
"firefox","24","Mac 10.9","","webdriver","Firefox","24.0.","","",""
"firefox","25","Mac 10.9","","webdriver","Firefox","25.0.","","",""
"firefox","26","Mac 10.9","","webdriver","Firefox","26.0.","","",""
"firefox","27","Mac 10.9","","webdriver","Firefox","27.0.","","",""
"firefox","28","Mac 10.9","","webdriver","Firefox","28.0.","","",""
"firefox","29","Mac 10.9","","webdriver","Firefox","29.0.","","",""
"firefox","30","Mac 10.9","","webdriver","Firefox","30.0.","","",""
"firefox","31","Mac 10.9","","webdriver","Firefox","31.0.","","",""
"firefox","32","Mac 10.9","","webdriver","Firefox","32.0.","","",""
"firefox","33","Mac 10.9","","webdriver","Firefox","33.0.","","",""
"firefox","34","Mac 10.9","","webdriver","Firefox","34.0.","","",""
"firefox","35","Mac 10.9","","webdriver","Firefox","35.0.","","",""
"firefox","36","Mac 10.9","","webdriver","Firefox","36.0.","","",""
"firefox","37","Mac 10.9","","webdriver","Firefox","37.0.2.","","",""
"firefox","38","Mac 10.9","","webdriver","Firefox","38.0.1.","","",""
"firefox","39","Mac 10.9","","webdriver","Firefox","39.0.","","",""
"firefox","40","Mac 10.9","","webdriver","Firefox","40.0.","","",""
"firefox","41","Mac 10.9","","webdriver","Firefox","41.0.","","",""
"firefox","42","Mac 10.9","","webdriver","Firefox","42.0.","","",""
"firefox","43","Mac 10.9","","webdriver","Firefox","43.0.","","",""
"firefox","44","Mac 10.9","","webdriver","Firefox","44.0.","","",""
"firefox","45","Mac 10.9","","webdriver","Firefox","45.0.","","",""
"firefox","46","Mac 10.9","","webdriver","Firefox","46.0.","","",""
"firefox","47","Mac 10.9","","webdriver","Firefox","47.0.","","",""
"firefox","48","Mac 10.9","","webdriver","Firefox","48.0.","","",""
"firefox","49","Mac 10.9","","webdriver","Firefox","49.0.","","",""
"firefox","50","Mac 10.9","","webdriver","Firefox","50.0.","","",""
"firefox","51","Mac 10.9","","webdriver","Firefox","51.0.","","",""
"firefox","52","Mac 10.9","","webdriver","Firefox","52.0.","","",""
"firefox","53","Mac 10.9","","webdriver","Firefox","53.0.","","",""
"firefox","54","Mac 10.9","","webdriver","Firefox","54.0.","","",""
"firefox","55","Mac 10.9","","webdriver","Firefox","55.0.","","",""
"firefox","56","Mac 10.9","","webdriver","Firefox","56.0.","","",""
"firefox","57","Mac 10.9","","webdriver","Firefox","57.0.","","",""
"firefox","58","Mac 10.9","","webdriver","Firefox","58.0.","","",""
"firefox","59","Mac 10.9","","webdriver","Firefox","59.0.","","",""
"firefox","60","Mac 10.9","","webdriver","Firefox","60.0.","","",""
"firefox","beta","Mac 10.9","","webdriver","Firefox","beta.","","",""
"firefox","dev","Mac 10.9","","webdriver","Firefox","dev.","","",""
"safari","7","Mac 10.9","","webdriver","Safari","7.0.","","",""
"chrome","31","Mac 10.9","","webdriver","Google Chrome","31.0.1650.63.","","",""
"chrome","32","Mac 10.9","","webdriver","Google Chrome","32.0.1700.107.","","",""
"chrome","33","Mac 10.9","","webdriver","Google Chrome","33.0.1750.149.","","",""
"chrome","34","Mac 10.9","","webdriver","Google Chrome","34.0.1847.116.","","",""
"chrome","35","Mac 10.9","","webdriver","Google Chrome","35.0.1916.114.","","",""
"chrome","36","Mac 10.9","","webdriver","Google Chrome","36.0.1985.125.","","",""
"chrome","37","Mac 10.9","","webdriver","Google Chrome","37.0.2062.120.","","",""
"chrome","38","Mac 10.9","","webdriver","Google Chrome","38.0.2125.101.","","",""
"chrome","39","Mac 10.9","","webdriver","Google Chrome","39.0.2171.65.","","",""
"chrome","40","Mac 10.9","","webdriver","Google Chrome","40.0.2214.93.","","",""
"chrome","41","Mac 10.9","","webdriver","Google Chrome","41.0.2272.76.","","",""
"chrome","42","Mac 10.9","","webdriver","Google Chrome","42.0.2311.135.","","",""
"chrome","43","Mac 10.9","","webdriver","Google Chrome","43.0.2357.65.","","",""
"chrome","44","Mac 10.9","","webdriver","Google Chrome","44.0.2403.125.","","",""
"chrome","45","Mac 10.9","","webdriver","Google Chrome","45.0.2454.93.","","",""
"chrome","46","Mac 10.9","","webdriver","Google Chrome","46.0.2490.71","","",""
"chrome","47","Mac 10.9","","webdriver","Google Chrome","47.0.2526.73","","",""
"chrome","48","Mac 10.9","","webdriver","Google Chrome","48.0.2564.97","","",""
"chrome","49","Mac 10.9","","webdriver","Google Chrome","49.0.2623.112","","",""
"chrome","50","Mac 10.9","","webdriver","Google Chrome","50.0.2661.94","","",""
"chrome","51","Mac 10.9","","webdriver","Google Chrome","51.0.2704.63","","",""
"chrome","52","Mac 10.9","","webdriver","Google Chrome","52.0.2743.82","","",""
"chrome","53","Mac 10.9","","webdriver","Google Chrome","53.0.2785.89","","",""
"chrome","54","Mac 10.9","","webdriver","Google Chrome","54.0.2840.59","","",""
"chrome","55","Mac 10.9","","webdriver","Google Chrome","55.0.2883.75","","",""
"chrome","56","Mac 10.9","","webdriver","Google Chrome","56.0.2924.76","","",""
"chrome","57","Mac 10.9","","webdriver","Google Chrome","57.0.2987.98","","",""
"chrome","58","Mac 10.9","","webdriver","Google Chrome","58.0.3029.81","","",""
"chrome","59","Mac 10.9","","webdriver","Google Chrome","59.0.3071.86","","",""
"chrome","60","Mac 10.9","","webdriver","Google Chrome","60.0.3112.78","","",""
"chrome","61","Mac 10.9","","webdriver","Google Chrome","61.0.3163.79","","",""
"chrome","62","Mac 10.9","","webdriver","Google Chrome","62.0.3202.62","","",""
"chrome","63","Mac 10.9","","webdriver","Google Chrome","63.0.3239.84","","",""
"chrome","64","Mac 10.9","","webdriver","Google Chrome","64.0.3282.119","","",""
"chrome","65","Mac 10.9","","webdriver","Google Chrome","65.0.3325.146","","",""
"chrome","beta","Mac 10.9","","webdriver","Google Chrome","beta.","","",""
"chrome","dev","Mac 10.9","","webdriver","Google Chrome","dev.","","",""
"internet explorer","11","Windows 10","","webdriver","Internet Explorer","11.103.10586.0.","","",""
"firefox","4","Windows 10","","webdriver","Firefox","4.0.1.","","",""
"firefox","5","Windows 10","","webdriver","Firefox","5.0.1.","","",""
"firefox","6","Windows 10","","webdriver","Firefox","6.0.2.","","",""
"firefox","7","Windows 10","","webdriver","Firefox","7.0.","","",""
"firefox","8","Windows 10","","webdriver","Firefox","8.0.1.","","",""
"firefox","9","Windows 10","","webdriver","Firefox","9.0.1.","","",""
